SMS,label,if_URL,if_phone,if_email
"Shipped: Your Amazon packagewith honest-to-god Spice richly EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Track at http:"a.co"4SJitSA",legitimate,1,0,0
"Arriving Today: Your Amazon package with Old Spice richly Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. trail at http:"a.co"5mRhmyv",legitimate,1,0,0
enjoyment [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,legitimate,0,0,0
"Biometric authentication is enabled for Kotak Bank Mobile bank App on CPH2139 for CRN xx8418. To composition fraud, click kotak.com"fraud",legitimate,1,0,0
"spanking! After successful mobile no. confirmation, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com"fraud",legitimate,1,0,0
Your WhatsApp code: 957-128 You can also tap on this link to verify your ring: v.whatsapp.com"957128 Don't apportion this code with others,legitimate,1,0,0
"90% daily data quota victimised as on 03-May-22 00:44. Jio numerate : 6280368198 For lead on how to oversee data quota effectively, click https:"youtu.be"ZFUDydctV78 If you do not have any other data plan, your internet speed will be reduced on ingestion of 1.50 Gb. To continue enjoying high speed internet, dawn https:"www.jio.com"dl"data_voucher and recharge. Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",legitimate,1,0,0
"100% of daily 1.50 GB data quota exhausted as on 28-Apr-22 nineteen:30. Jio list : 6280368198 Daily high speed data quota will be regenerate on 29-Apr-22 01:19. To know where you have have your data quota, click http:"tiny1.jio.com"HelpfulTips",legitimate,1,0,0
"Recharge of radius. 15.0 is successful for your Jio number 6280368198. Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: establish Plans lustiness Transaction ID: 30002160230062 To perspective details of your current and upcoming project, click https:"www.jio.com"dl"my_plans To share your recharge experience, click https:"www.jio.com"en-in"jio-rech-exp-survey?custid=30002160230062 Dial 1991, to cognise your current Libra, validity, plan details and for exciting recharge plans.",legitimate,1,0,0
"FREY: Hey Corinne, your FREY guild has embark!!!! We hope you're as excited as we are!!! LET us know if we can do anything foryou =) Just contact us here: https:"tiny.ps"fpkcX",legitimate,1,0,0
